Date		Match Centre		Time (IST)		Venue		Match No
March 26, 2022	,	CSK vs KKR	,	7:30 PM	,	Wankhede Stadium	,	1
March 27, 2022	,	DC vs MI	,	3:30 PM	,	Brabourne – CCI	,	2
March 27, 2022	,	PBKS vs RCB	,	7:30 PM	,	DY Patil Stadium	,	3
March 28, 2022	,	GT vs LSG	,	7:30 PM	,	Wankhede Stadium	,	4
March 29, 2022	,	SRH vs RR	,	7:30 PM	,	MCA Stadium Pune	,	5
March 30, 2022	,	RCB vs KKR	,	7:30 PM	,	DY Patil Stadium	,	6
March 31, 2022	,	LSG vs CSK	,	7:30 PM	,	Brabourne – CCI	,	7
April 1, 2022	,	KKR vs PBKS	,	7:30 PM	,	Wankhede Stadium	,	8
April 2, 2022	,	MI vs RR	,	3:30 PM	,	DY Patil Stadium	,	9
April 2, 2022	,	GT vs DC	,	7:30 PM	,	MCA Stadium Pune	,	10
April 3, 2022	,	CSK vs PBKS	,	7:30 PM	,	Brabourne – CCI	,	11
April 4, 2022	,	SRH vs LSG	,	7:30 PM	,	DY Patil Stadium	,	12
April 5, 2022	,	RR vs RCB	,	7:30 PM	,	Wankhede Stadium	,	13
April 6, 2022	,	KKR vs MI	,	7:30 PM	,	MCA Stadium Pune	,	14
April 7, 2022	,	LSG vs DC	,	7:30 PM	,	DY Patil Stadium	,	15
April 8, 2022	,	PBKS vs GT	,	7:30 PM	,	Brabourne – CCI	,	16
April 9, 2022	,	CSK vs SRH	,	3:30 PM	,	DY Patil Stadium	,	17
April 9, 2022	,	RCB vs MI	,	7:30 PM	,	MCA Stadium Pune	,	18
April 10, 2022	,	KKR vs DC	,	3:30 PM	,	Brabourne – CCI	,	19
April 10, 2022	,	RR vs LSG	,	7:30 PM	,	Wankhede Stadium	,	20
April 11, 2022	,	SRH vs GT	,	7:30 PM	,	DY Patil Stadium	,	21
April 12, 2022	,	CSK vs RCB	,	7:30 PM	,	DY Patil Stadium	,	22
April 13, 2022	,	MI vs PBKS	,	7:30 PM	,	MCA Stadium Pune	,	23
April 14, 2022	,	RR vs GT	,	7:30 PM	,	DY Patil Stadium	,	24
April 15, 2022	,	SRH vs KKR	,	7:30 PM	,	Brabourne – CCI	,	25
April 16, 2022	,	MI vs LSG	,	3:30 PM	,	Brabourne – CCI	,	26
April 16, 2022	,	DC vs RCB	,	7:30 PM	,	Wankhede Stadium	,	27
April 17, 2022	,	PBKS vs SRH	,	3:30 PM	,	Brabourne – CCI	,	28
April 17, 2022	,	GT vs CSK	,	7:30 PM	,	MCA Stadium Pune	,	29
April 18, 2022	,	RR vs KKR	,	7:30 PM	,	Brabourne – CCI	,	30
April 19, 2022	,	LSG vs RCB	,	7:30 PM	,	DY Patil Stadium	,	31
April 20, 2022	,	DC vs PBKS	,	7:30 PM	,	MCA Stadium Pune	,	32
April 21, 2022	,	MI vs CSK	,	7:30 PM	,	DY Patil Stadium	,	33
April 22, 2022	,	DC vs RR	,	7:30 PM	,	MCA Stadium Pune	,	34
April 23, 2022	,	KKR vs GJ	,	3:30 PM	,	DY Patil Stadium	,	35
April 23, 2022	,	RCB vs SRH	,	7:30 PM	,	Brabourne – CCI	,	36
April 24, 2022	,	LSG vs MI	,	7:30 PM	,	Wankhede Stadium	,	37
April 25, 2022	,	PBKS vs CSK	,	7:30 PM	,	Wankhede Stadium	,	38
April 26, 2022	,	RCB vs RR	,	7:30 PM	,	MCA Stadium Pune	,	39
April 27, 2022	,	GT vs SRH	,	7:30 PM	,	Wankhede Stadium	,	40
April 28, 2022	,	DC vs KKR	,	7:30 PM	,	Wankhede Stadium	,	41
April 29, 2022	,	PBKS vs LSG	,	7:30 PM	,	MCA Stadium Pune	,	42
April 30, 2022	,	GT vs RCB	,	3:30 PM	,	Brabourne – CCI	,	43
April 30, 2022	,	RR vs MI	,	7:30 PM	,	DY Patil Stadium	,	44
May 1, 2022	,	DC vs LSG	,	3:30 PM	,	Wankhede Stadium	,	45
May 1, 2022	,	SRH vs CSK	,	7:30 PM	,	MCA Stadium Pune	,	46
May 2, 2022	,	KKR vs RR	,	7:30 PM	,	Wankhede Stadium	,	47
May 3, 2022	,	GT vs PBKS	,	7:30 PM	,	DY Patil Stadium	,	48
May 4, 2022	,	RCB vs CSK	,	7:30 PM	,	MCA Stadium Pune	,	49
May 5, 2022	,	DC vs SRH	,	7:30 PM	,	Brabourne – CCI	,	50
May 6, 2022	,	GT vs MI	,	7:30 PM	,	Brabourne – CCI	,	51
May 7, 2022	,	PBKS vs RR	,	3:30 PM	,	Wankhede Stadium	,	52
May 7, 2022	,	LSG vs KKR	,	3:30 PM	,	MCA Stadium Pune	,	53
May 8, 2022	,	SRH vs RCB	,	3:30 PM	,	Wankhede Stadium	,	54
May 8, 2022	,	CSK vs DC	,	3:30 PM	,	DY Patil Stadium	,	55
May 9, 2022	,	MI vs KKR	,	7:30 PM	,	DY Patil Stadium	,	56
May 10, 2022	,	LSG vs GT	,	7:30 PM	,	MCA Stadium Pune	,	57
May 11, 2022	,	RR vs DC	,	7:30 PM	,	DY Patil Stadium	,	58
May 12, 2022	,	CSK vs MI	,	7:30 PM	,	Wankhede Stadium	,	59
May 13, 2022	,	RCB vs PBKS	,	7:30 PM	,	Brabourne – CCI	,	60
May 14, 2022	,	KKR vs SRH	,	7:30 PM	,	MCA Stadium Pune	,	61
May 15, 2022	,	CSK vs GT	,	3:30 PM	,	Wankhede Stadium	,	62
May 15, 2022	,	LSG vs RR	,	7:30 PM	,	Brabourne – CCI	,	63
May 16, 2022	,	PBKS vs DC	,	7:30 PM	,	DY Patil Stadium	,	64
May 17, 2022	,	MI vs SRH	,	7:30 PM	,	Wankhede Stadium	,	65
May 18, 2022	,	KKR vs LSG	,	7:30 PM	,	DY Patil Stadium	,	66
May 19, 2022	,	RCB vs GT	,	7:30 PM	,	Wankhede Stadium	,	67
May 20, 2022	,	RR vs CSK	,	7:30 PM	,	Brabourne – CCI	,	68
May 21, 2022	,	MI vs DC	,	7:30 PM	,	Wankhede Stadium	,	69
May 22, 2022	,	SRH vs PBKS	,	7:30 PM	,	Wankhede Stadium	,	70